,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
0,Belarus,142,373,42,14.4
1,Lithuania,343,244,56,12.9
2,Andorra,245,138,312,12.4
3,Grenada,199,438,28,11.9
4,Czech Republic,361,170,134,11.8
5,France,127,151,370,11.8
6,Russian Federation,247,326,73,11.5
7,Ireland,313,118,165,11.4
8,Slovakia,196,293,116,11.4
9,Luxembourg,236,133,271,11.4
10,Germany,346,117,175,11.3
11,Hungary,234,215,185,11.3
12,Portugal,194,67,339,11.0
13,Poland,343,215,56,10.9
14,Slovenia,270,51,276,10.6
15,Latvia,281,216,62,10.5
16,Belgium,295,84,212,10.5
17,Denmark,224,81,278,10.4
18,United Kingdom,219,126,195,10.4
19,Romania,297,122,167,10.4
20,Australia,261,72,212,10.4
21,Bulgaria,231,252,94,10.3
22,Switzerland,185,100,280,10.2
23,Croatia,230,87,254,10.2
24,St. Lucia,171,315,71,10.1
25,Finland,263,133,97,10.0
26,Spain,284,157,112,10.0
27,South Korea,140,16,9,9.8
28,Austria,279,75,191,9.7
29,Serbia,283,131,127,9.6
30,Estonia,224,194,59,9.5
31,Netherlands,251,88,190,9.4
32,New Zealand,203,79,175,9.3
33,Nigeria,42,5,2,9.1
34,Gabon,347,98,59,8.9
35,Ukraine,206,237,45,8.9
36,USA,249,158,84,8.7
37,Argentina,193,25,221,8.3
38,Uganda,45,9,0,8.3
39,Greece,133,112,218,8.3
40,South Africa,225,76,81,8.2
41,Cyprus,192,154,113,8.2
42,Canada,240,122,100,8.2
43,St. Kitts & Nevis,194,205,32,7.7
44,Venezuela,333,100,3,7.7
45,Chile,130,124,172,7.6
46,Paraguay,213,117,74,7.3
47,Sweden,152,60,186,7.2
48,Panama,285,104,18,7.2
49,Brazil,245,145,16,7.2
50,Guyana,93,302,1,7.1
51,Niue,188,200,7,7.0
52,Japan,77,202,16,7.0
53,Palau,306,63,23,6.9
54,Belize,263,114,8,6.8
55,Namibia,376,3,1,6.8
56,Rwanda,43,2,0,6.8
57,Kazakhstan,124,246,12,6.8
58,Sierra Leone,25,3,2,6.7
59,Norway,169,71,129,6.7
60,Iceland,233,61,78,6.6
61,Uruguay,115,35,220,6.6
62,Dominica,52,286,26,6.6
63,Malta,149,100,120,6.6
64,Italy,85,42,237,6.5
65,Trinidad & Tobago,197,156,7,6.4
66,Thailand,99,258,1,6.4
67,Barbados,143,173,36,6.3
68,Bahamas,122,176,51,6.3
69,Moldova,109,226,18,6.3
70,Burundi,88,0,0,6.3
71,St. Vincent & the Grenadines,120,221,11,6.3
72,Laos,62,0,123,6.2
73,Dominican Republic,193,147,9,6.2
74,Peru,163,160,21,6.1
75,Haiti,1,326,1,5.9
76,Cook Islands,0,254,74,5.9
77,Angola,217,57,45,5.9
78,Cameroon,147,1,4,5.8
79,Equatorial Guinea,92,0,233,5.8
80,Tanzania,36,6,1,5.7
81,Suriname,128,178,7,5.6
82,Mexico,238,68,5,5.5
83,Botswana,173,35,35,5.4
84,Georgia,52,100,149,5.4
85,China,79,192,8,5.0
86,Montenegro,31,114,128,4.9
87,Albania,89,132,54,4.9
88,Mongolia,77,189,8,4.9
89,Antigua & Barbuda,102,128,45,4.9
90,Zimbabwe,64,18,4,4.7
91,Swaziland,90,2,2,4.7
92,Bosnia-Herzegovina,76,173,8,4.6
93,Philippines,71,186,1,4.6
94,Costa Rica,149,87,11,4.4
95,Burkina Faso,25,7,7,4.3
96,Ecuador,162,74,3,4.2
97,Cuba,93,137,5,4.2
98,Colombia,159,76,3,4.2
99,Sao Tome & Principe,56,38,140,4.2
100,Seychelles,157,25,51,4.1
101,Cabo Verde,144,56,16,4.0
102,Cote d'Ivoire,37,1,7,4.0
103,Macedonia,106,27,86,3.9
104,Bolivia,167,41,8,3.8
105,Armenia,21,179,11,3.8
106,Nicaragua,78,118,1,3.5
107,Jamaica,82,97,9,3.4
108,Liberia,19,152,2,3.1
109,Honduras,69,98,2,3.0
110,Lesotho,82,29,0,2.8
111,United Arab Emirates,16,135,5,2.8
112,Mauritius,98,31,18,2.6
113,Samoa,105,18,24,2.6
114,Zambia,32,19,4,2.5
115,Guinea-Bissau,28,31,21,2.5
116,Israel,63,69,9,2.5
117,Uzbekistan,25,101,8,2.4
118,Kyrgyzstan,31,97,6,2.4
119,Gambia,8,0,1,2.4
120,Micronesia,62,50,18,2.3
121,DR Congo,32,3,1,2.3
122,India,9,114,0,2.2
123,Turkmenistan,19,71,32,2.2
124,Cambodia,57,65,1,2.2
125,Sri Lanka,16,104,0,2.2
126,Guatemala,53,69,2,2.2
127,El Salvador,52,69,2,2.2
128,Vietnam,111,2,1,2.0
129,Bahrain,42,63,7,2.0
130,Fiji,77,35,1,2.0
131,Lebanon,20,55,31,1.9
132,Central African Republic,17,2,1,1.8
133,Kenya,58,22,2,1.8
134,Ghana,31,3,10,1.8
135,Sudan,8,13,0,1.7
136,Congo,76,1,9,1.7
137,Papua New Guinea,44,39,1,1.5
138,Malawi,8,11,1,1.5
139,Singapore,60,12,11,1.5
140,Turkey,51,22,7,1.4
141,Togo,36,2,19,1.3
142,Mozambique,47,18,5,1.3
143,Azerbaijan,21,46,5,1.3
144,Tunisia,51,3,20,1.3
145,Solomon Islands,56,11,1,1.2
146,Benin,34,4,13,1.1
147,Tonga,36,21,5,1.1
148,Djibouti,15,44,3,1.1
149,Tuvalu,6,41,9,1.0
150,Syria,5,35,16,1.0
151,Kiribati,21,34,1,1.0
152,Nauru,49,0,8,1.0
153,Vanuatu,21,18,11,0.9
154,Qatar,1,42,7,0.9
155,Madagascar,26,15,4,0.8
156,Oman,22,16,1,0.7
157,Algeria,25,0,14,0.7
158,Ethiopia,20,3,0,0.7
159,Brunei,31,2,1,0.6
160,Mali,5,1,1,0.6
161,Eritrea,18,0,0,0.5
162,Jordan,6,21,1,0.5
163,Morocco,12,6,10,0.5
164,Bhutan,23,0,0,0.4
165,Chad,15,1,1,0.4
166,Malaysia,13,4,0,0.3
167,Tajikistan,2,15,0,0.3
168,Senegal,9,1,7,0.3
169,Guinea,9,0,2,0.2
170,Iraq,9,3,0,0.2
171,Egypt,6,4,1,0.2
172,Nepal,5,6,0,0.2
173,Saudi Arabia,0,5,0,0.1
174,Indonesia,5,1,0,0.1
175,Myanmar,5,1,0,0.1
176,Yemen,6,0,0,0.1
177,Niger,3,2,1,0.1
178,Timor-Leste,1,1,4,0.1
179,Comoros,1,3,1,0.1
180,Bangladesh,0,0,0,0.0
181,Mauritania,0,0,0,0.0
182,Monaco,0,0,0,0.0
183,Maldives,0,0,0,0.0
184,Marshall Islands,0,0,0,0.0
185,North Korea,0,0,0,0.0
186,Somalia,0,0,0,0.0
187,San Marino,0,0,0,0.0
188,Iran,0,0,0,0.0
189,Kuwait,0,0,0,0.0
190,Pakistan,0,0,0,0.0
191,Libya,0,0,0,0.0
192,Afghanistan,0,0,0,0.0
